id;family_list
28720;Cities: Manchester (England, UK)
28720;Components: Map (Continental / National scale)
28720;Country: England
28720;Crowdfunding: Spieleschmiede
28720;Digital Implementations: Steam
28720;Game: Brass
28720;History: Industrial Revolution
28720;Theme: Canals
246900;Components: Control Boards
246900;Components: Game Trayz Inside
246900;Components: Map (Interplanetary or Interstellar scale)
246900;Components: Miniatures
246900;Crowdfunding: Kickstarter
246900;Game: Eclipse (Lautapelit.fi)
246900;Mechanism: 4X
246900;Misc: Made by Panda
124361;Ancient: Rome
124361;Components: Map (Continental / National scale)
124361;Digital Implementations: Boiteajeux
124361;Digital Implementations: Steam
124361;Game: Concordia
124361;Players: Games with expansions that add solo play
124361;Region: Mediterranean Sea
177736;Components: Polyominoes
177736;Components: Wooden pieces & boards
177736;Country: Iceland
177736;Digital Implementations: Board Game Arena
177736;Game: A Feast for Odin
177736;Mechanism: Tableau Building
177736;Players: Games with Solitaire Rules
177736;Series: Harvest (Uwe Rosenberg)
177736;Theme: Food / Cooking
177736;Theme: Vikings
266507;Components: Miniatures
266507;Creatures: Dragons
266507;Creatures: Goblins
266507;Game: Clank!
266507;Mechanism: Campaign Games
266507;Mechanism: Legacy
266507;Versions & Editions: Legacy Versions of Non-Legacy Games
266192;Animals: Birds
266192;Animals: Crows / Ravens / Magpies
266192;Animals: Ducks
266192;Animals: Eagles
266192;Animals: Geese
266192;Animals: Owls
266192;Animals: Turkeys
266192;Components: Control Boards
266192;Components: Dice with Icons
266192;Components: Drop Tower
266192;Components: Game Trayz Inside
266192;Digital Implementations: Board Game Arena
266192;Digital Implementations: Google Play
266192;Digital Implementations: Steam
266192;Digital Implementations: TableTop Simulator Mod (TTS)
266192;Digital Implementations: Tabletopia
266192;Game: Wingspan
266192;Mechanism: Tableau Building
266192;Misc: Made by Panda
266192;Misc: Watch It Played How To Videos
266192;Organizations: Automa Factory
266192;Players: Games with Solitaire Rules
266192;Theme: Biology
266192;Theme: Nature
120677;Category: Combinatorial
120677;Components: Control Boards
120677;Components: Map (Continental / National scale)
120677;Components: Wooden pieces & boards
120677;Digital Implementations: Board Game Arena
120677;Digital Implementations: Google Play
120677;Digital Implementations: Steam
120677;Digital Implementations: Tabletopia
120677;Digital Implementations: Yucata
120677;Game: Terra Mystica
120677;Mechanism: Tableau Building
205637;Collectible: Living Card Game (Fantasy Flight Games)
205637;Game: Arkham Horror – The Card Game
205637;Mechanism: Campaign Games
205637;Players: Games with Solitaire Rules
205637;Series: Arkham Horror Files (Fantasy Flight Games)
205637;Theme: Cthulhu Mythos
205637;Versions & Editions: Card Versions of Non-Card Games
237182;Animals: Birds
237182;Animals: Cats
237182;Animals: Foxes
237182;Animals: Mice
237182;Animals: Rabbits
237182;Animals: Raccoons
237182;Components: Control Boards
237182;Components: Map (Continental / National scale)
237182;Components: Meeples (Animal) / Animeeples
237182;Components: Polyhedral (not D6) dice
237182;Components: Wooden pieces & boards
237182;Crowdfunding: Kickstarter
237182;Digital Implementations: Google Play
237182;Digital Implementations: Steam
237182;Game: Root
237182;Misc: Made by Panda
237182;Players: Games with expansions that add solo play
237182;Theme: Animal Battles
237182;Theme: Anthropomorphic Animals
237182;Theme: Nature
312484;Digital Implementations: Board Game Arena
312484;Digital Implementations: Yucata
312484;Players: Games with Solitaire Rules
312484;Theme: Archaeology / Paleontology
312484;Theme: Tropical Islands
164928;Cities: Orléans (France)
164928;Components: Map (Continental / National scale)
164928;Country: France
164928;Crowdfunding: Kickstarter
164928;Crowdfunding: Wspieram
164928;Digital Implementations: Tabletopia
164928;Game: Orléans
164928;Misc: Made by Panda
164928;Players: Games with expansions that add solo play
164928;Religious: Monks/Abbots & Monasteries/Abbeys
199792;Animals: Badgers
199792;Animals: Bats
199792;Animals: Birds
199792;Animals: Foxes
199792;Animals: Hedgehogs / Porcupines
199792;Animals: Lizards
199792;Animals: Mice
199792;Animals: Moles
199792;Animals: Owls
199792;Animals: Skunks
199792;Animals: Squirrels
199792;Animals: Turtles
199792;Category: Dized Tutorial
199792;Components: 3-Dimensional (3D)
199792;Components: Meeples (Animal) / Animeeples
199792;Components: Wooden pieces & boards
199792;Crowdfunding: Kickstarter
199792;Digital Implementations: Google Play
199792;Digital Implementations: Steam
199792;Digital Implementations: Tabletopia
199792;Game: Everdell
199792;Mechanism: Tableau Building
199792;Misc: LongPack Games
199792;Misc: Watch It Played How To Videos
199792;Players: Games with Solitaire Rules
199792;Theme: Anthropomorphic Animals
199792;Theme: Nature
96848;Components: Clix
96848;Components: Miniatures
96848;Components: Multi-Use Cards
96848;Players: Games with Solitaire Rules
96848;Setting: Mage Knight
183394;Components: Control Boards
183394;Components: Meeples (Animal) / Animeeples
183394;Components: Wooden pieces & boards
183394;Country: Italy
183394;Digital Implementations: Board Game Arena
183394;Digital Implementations: BoardSpace
183394;Digital Implementations: Steam
183394;Digital Implementations: Tabletopia
183394;Food & Drink: Wine
183394;Game: Viticulture
183394;Misc: Made by Panda
183394;Organizations: Automa Factory
183394;Players: Games with Solitaire Rules
183394;Series: Uwe Rosenberg Collection (Feuerland Spiele)
251247;Components: Control Boards
251247;Crowdfunding: Kickstarter
251247;Digital Implementations: Board Game Arena
251247;Digital Implementations: Tabletopia
251247;Game: Barrage
251247;Players: Games with Solitaire Rules
251247;Theme: Art style – Art Deco
251247;Theme: Dieselpunk
341169;Animals: Cattle / Cows
341169;Cities: Kansas City (Missouri, USA)
341169;Components: Control Boards
341169;Country: USA
341169;Digital Implementations: Board Game Arena
341169;Game: Great Western Trail
341169;Mechanism: Tableau Building
341169;Players: Games with Solitaire Rules
341169;States: Texas
324856;Admin: Better Description Needed!
324856;Digital Implementations: Board Game Arena
324856;Digital Implementations: Tabletopia
324856;Game: The Crew
324856;Mechanism: Campaign Games
175914;Decades: The 1950's
175914;Digital Implementations: Boardgamecore
175914;Misc: Made by Panda
175914;Theme: Food / Cooking
175914;Theme: Retro
192135;Components: 4 x 4 Grids
192135;Components: Dice with Icons
192135;Crowdfunding: Kickstarter
192135;Game: Too Many Bones
192135;Players: Games with Solitaire Rules
285774;Collectible: Living Card Game (Fantasy Flight Games)
285774;Comic Books: Marvel Universe
285774;Game: Marvel Champions – The Card Game
285774;Mechanism: Tableau Building
285774;Players: Games with Solitaire Rules
285774;Theme: Superheroes
256960;Components: Wooden pieces & boards
256960;Country: Afghanistan
256960;Crowdfunding: Kickstarter
256960;Digital Implementations: Rally the Troops
256960;Game: Pax Pamir
256960;History: Anglo-Afghan Wars
256960;Mechanism: Tableau Building
256960;Misc: Made by Panda
256960;Players: Games with Solitaire Rules
256960;Series: Pax
3076;Components: Wooden pieces & boards
3076;Country: Puerto Rico
3076;Digital Implementations: Board Game Arena
3076;Game: Puerto Rico
3076;Mechanism: Tableau Building
3076;Region: Caribbean Sea
3076;Series: Alea Big Box
3076;Theme: Colonial
3076;Theme: Tropical
247763;Digital Implementations: TableTop Simulator Mod (TTS)
247763;Digital Implementations: Yucata
247763;Mechanism: Tableau Building
247763;Players: Games with Solitaire Rules
247763;Theme: Under the Sea
102794;Animals: Cattle / Cows
102794;Animals: Dogs
102794;Animals: Donkeys
102794;Animals: Sheep
102794;Components: Gems/Crystals
102794;Components: Meeples (Animal) / Animeeples
102794;Components: Wooden pieces & boards
102794;Digital Implementations: Board Game Arena
102794;Game: Caverna (Uwe Rosenberg)
102794;Players: Games with Solitaire Rules
102794;Series: Harvest (Uwe Rosenberg)
102794;Theme: Mining
170216;Category: Dized Tutorial
170216;Components: Control Boards
170216;Components: Dynamic Event Boards
170216;Components: Map (Continental / National scale)
170216;Components: Miniatures
170216;Creatures: Monsters
170216;Crowdfunding: Kickstarter
170216;Digital Implementations: Board Game Arena
170216;Digital Implementations: Steam
170216;Digital Implementations: TableTop Simulator Mod (TTS)
170216;Game: Blood Rage
170216;Misc: Watch It Played How To Videos
170216;Mythology: Norse
170216;Theme: Vikings
185343;Components: Miniatures
185343;Crowdfunding: Kickstarter
185343;Digital Implementations: Board Game Arena
185343;Digital Implementations: Tabletopia
185343;Game: Anachrony
185343;Mechanism: Tableau Building
185343;Misc: Made by Panda
185343;Players: Games with Solitaire Rules
185343;Theme: Post-Apocalyptic
185343;Theme: Time Travel
31260;Animals: Cattle / Cows
31260;Animals: Horses
31260;Animals: Pigs
31260;Animals: Sheep
31260;Components: Meeples (Animal) / Animeeples
31260;Components: Wooden pieces & boards
31260;Digital Implementations: Boiteajeux
31260;Game: Agricola
31260;Mechanism: Tableau Building
31260;Occupation: Farmer
31260;Players: Games with Solitaire Rules
31260;Series: Harvest (Uwe Rosenberg)
31260;Theme: Food / Cooking
295947;Animals: Bears
295947;Animals: Eagles
295947;Animals: Fish / Fishes
295947;Animals: Foxes
295947;Animals: Moose / Elk
295947;Components: Hexagonal Tiles
295947;Components: Wooden pieces & boards
295947;Crowdfunding: Kickstarter
295947;Digital Implementations: Tabletopia
295947;States: Washington
295947;Theme: Nature
184267;Crowdfunding: Kickstarter
184267;Digital Implementations: Tabletopia
184267;Game: On Mars
184267;Misc: Made by Panda
184267;Players: Games with Solitaire Rules
184267;Space: Earth's Solar System
184267;Space: Mars
221107;Components: Map (Global Scale)
221107;Game: Pandemic
221107;Mechanism: Campaign Games
