id;cat_list
224517;Economic
224517;Industry / Manufacturing
224517;Post-Napoleonic
224517;Trains
224517;Transportation
161936;Environmental
161936;Medical
174430;Adventure
174430;Exploration
174430;Fantasy
174430;Fighting
174430;Miniatures
342942;Animals
342942;Economic
342942;Environmental
233078;Civilization
233078;Economic
233078;Exploration
233078;Negotiation
233078;Political
233078;Science Fiction
233078;Space Exploration
233078;Wargame
167791;Economic
167791;Environmental
167791;Industry / Manufacturing
167791;Science Fiction
167791;Space Exploration
167791;Territory Building
291457;Adventure
291457;Exploration
291457;Fantasy
291457;Fighting
291457;Miniatures
316554;Movies / TV / Radio theme
316554;Novel-based
316554;Political
316554;Science Fiction
115746;Adventure
115746;Fantasy
115746;Fighting
115746;Novel-based
115746;Territory Building
115746;Wargame
187645;Civil War
187645;Miniatures
187645;Movies / TV / Radio theme
187645;Science Fiction
187645;Space Exploration
187645;Wargame
162886;Fantasy
162886;Fighting
162886;Mythology
162886;Territory Building
220308;Civilization
220308;Economic
220308;Miniatures
220308;Science Fiction
220308;Space Exploration
220308;Territory Building
182028;Card Game
182028;Civilization
182028;Economic
12333;Modern Warfare
12333;Political
12333;Wargame
193738;American West
193738;Animals
193738;Economic
169786;Economic
169786;Fighting
169786;Science Fiction
169786;Territory Building
84876;Dice
84876;Medieval
84876;Territory Building
173346;Ancient
173346;Card Game
173346;City Building
173346;Civilization
173346;Economic
167355;Adventure
167355;Horror
167355;Miniatures
167355;Science Fiction
28720;Economic
28720;Industry / Manufacturing
28720;Post-Napoleonic
28720;Transportation
246900;Civilization
246900;Science Fiction
246900;Space Exploration
246900;Wargame
124361;Ancient
124361;Economic
124361;Nautical
177736;Economic
177736;Farming
177736;Industry / Manufacturing
177736;Medieval
177736;Puzzle
266507;Adventure
266507;Fantasy
266507;Miniatures
266192;Animals
266192;Card Game
266192;Educational
120677;Civilization
120677;Economic
120677;Fantasy
120677;Territory Building
205637;Adventure
205637;Card Game
205637;Collectible Components
205637;Exploration
205637;Horror
205637;Novel-based
237182;Animals
237182;Fantasy
237182;Wargame
312484;Adventure
312484;Exploration
312484;Travel
164928;Medieval
164928;Religious
164928;Travel
199792;Animals
199792;Card Game
199792;City Building
199792;Fantasy
96848;Adventure
96848;Exploration
96848;Fantasy
96848;Fighting
183394;Economic
183394;Farming
251247;Economic
251247;Environmental
251247;Industry / Manufacturing
341169;American West
341169;Animals
341169;Economic
324856;Card Game
324856;Nautical
324856;Science Fiction
175914;Economic
175914;Industry / Manufacturing
192135;Adventure
192135;Dice
192135;Fantasy
192135;Fighting
285774;Card Game
285774;Collectible Components
285774;Comic Book / Strip
256960;Economic
256960;Educational
256960;Negotiation
256960;Political
256960;Post-Napoleonic
256960;Spies/Secret Agents
3076;City Building
3076;Economic
3076;Farming
247763;Card Game
247763;City Building
247763;Civilization
247763;Industry / Manufacturing
247763;Nautical
247763;Science Fiction
102794;Animals
102794;Economic
102794;Fantasy
102794;Farming
170216;Fantasy
170216;Fighting
170216;Miniatures
170216;Mythology
185343;Economic
185343;Science Fiction
31260;Animals
31260;Economic
31260;Farming
295947;Animals
295947;Environmental
295947;Puzzle
184267;City Building
184267;Economic
184267;Exploration
184267;Science Fiction
184267;Space Exploration
184267;Territory Building
221107;Environmental
221107;Exploration
221107;Medical
221107;Science Fiction
314040;Spies/Secret Agents
205059;Adventure
205059;Exploration
205059;Fighting
205059;Horror
205059;Miniatures
205059;Murder/Mystery
205059;Puzzle
276025;Economic
276025;Exploration
276025;Pirates
521;Action / Dexterity
126163;Ancient
126163;Civilization
126163;Economic
126163;Farming
126163;Mythology
255984;Adventure
255984;Exploration
255984;Fantasy
255984;Nautical
2651;Economic
2651;Industry / Manufacturing
284378;Economic
284378;Industry / Manufacturing
161533;City Building
161533;Economic
161533;Industry / Manufacturing
161533;Political
284083;Card Game
284083;Science Fiction
284083;Space Exploration
216132;Economic
216132;Farming
244521;Medieval
35677;City Building
35677;Economic
35677;Industry / Manufacturing
35677;Nautical
164153;Adventure
164153;Exploration
164153;Fighting
164153;Miniatures
164153;Movies / TV / Radio theme
164153;Science Fiction
164153;Wargame
266810;Medieval
209010;Fantasy
209010;Fighting
209010;Miniatures
209010;Video Game Theme
125153;Economic
55690;Adventure
55690;Fantasy
55690;Horror
55690;Mature / Adult
55690;Miniatures
55690;Mythology
124742;Bluffing
124742;Card Game
124742;Collectible Components
124742;Science Fiction
182874;Economic
230802;Abstract Strategy
230802;Puzzle
230802;Renaissance
72125;Civilization
72125;Fighting
72125;Science Fiction
72125;Space Exploration
72125;Wargame
28143;Card Game
28143;Civilization
28143;Economic
28143;Science Fiction
28143;Space Exploration
253344;Fantasy
253344;Fighting
253344;Horror
253344;Miniatures
253344;Novel-based
191189;Card Game
191189;Fantasy
191189;Fighting
191189;Science Fiction
201808;Adventure
201808;Fantasy
200680;Animals
200680;Economic
200680;Farming
157354;Arabian
157354;Fantasy
157354;Mythology
25613;Civilization
25613;Economic
159675;Economic
159675;Farming
159675;Industry / Manufacturing
229853;Ancient
110327;City Building
110327;Fantasy
121921;Adventure
121921;Exploration
121921;Fighting
121921;Novel-based
121921;Territory Building
171623;Dice
171623;Economic
171623;Medieval
171623;Travel
62219;Animals
62219;Environmental
62219;Prehistoric
366013;Racing
366013;Sports
68448;Ancient
68448;Card Game
68448;City Building
68448;Civilization
68448;Economic
317985;Science Fiction
317985;Space Exploration
231733;Post-Napoleonic
180263;Adventure
180263;Card Game
180263;Exploration
180263;Science Fiction
264220;Adventure
264220;Exploration
264220;Fantasy
264220;Mature / Adult
264220;Medieval
264220;Mythology
264220;Travel
295770;Adventure
295770;Exploration
295770;Fantasy
295770;Fighting
295770;Miniatures
236457;City Building
236457;Medieval
93;Medieval
93;Renaissance
279537;Deduction
279537;Puzzle
37111;Bluffing
37111;Deduction
37111;Movies / TV / Radio theme
37111;Political
37111;Science Fiction
37111;Space Exploration
37111;Spies/Secret Agents
122515;City Building
122515;Economic
122515;Renaissance
122515;Territory Building
122515;Transportation
18602;City Building
18602;Economic
18602;Medieval
225694;Bluffing
225694;Deduction
225694;Party Game
225694;Spies/Secret Agents
225694;Word Game
170042;Medieval
170042;Nautical
172386;Economic
155821;Card Game
155821;Exploration
155821;Medieval
155821;Mythology
40834;Card Game
40834;Medieval
73439;Dice
73439;Economic
73439;Medieval
42;Ancient
42;Civilization
42;Territory Building
203993;Renaissance
146021;Adventure
146021;Fighting
146021;Horror
146021;Novel-based
146021;Travel
163068;Post-Napoleonic
269385;Adventure
269385;Fantasy
269385;Fighting
269385;Miniatures
269385;Novel-based
12493;Civilization
12493;Negotiation
12493;Political
12493;Science Fiction
12493;Space Exploration
12493;Wargame
144733;Industry / Manufacturing
144733;Trains
163412;Abstract Strategy
163412;Economic
163412;Puzzle
102680;Ancient
102680;Political
205896;Bluffing
205896;Fantasy
205896;Miniatures
205896;Mythology
205896;Negotiation
205896;Wargame
218417;Card Game
218417;Fantasy
218417;Science Fiction
36218;Card Game
36218;Medieval
281259;Animals
281259;Fantasy
281259;Puzzle
256916;Ancient
256916;Economic
233371;Science Fiction
175640;Economic
175640;Industry / Manufacturing
178900;Card Game
178900;Deduction
178900;Party Game
178900;Spies/Secret Agents
178900;Word Game
172287;Adventure
172287;Dice
172287;Fantasy
172287;Fighting
172287;Medieval
172287;Mythology
198928;Medical
198928;Post-Napoleonic
198928;Trains
132531;Civilization
132531;Dice
132531;Economic
132531;Science Fiction
132531;Space Exploration
196340;Economic
4098;Economic
4098;Trains
4098;Transportation
175155;Bluffing
175155;Fighting
175155;Miniatures
175155;Science Fiction
175155;Wargame
43015;Medieval
266524;Animals
266524;Economic
266524;Environmental
266524;Travel
263918;Fantasy
263918;Territory Building
217372;Adventure
217372;Exploration
217372;Racing
30549;Medical
310873;Economic
310873;Industry / Manufacturing
262712;Card Game
262712;Fantasy
274364;Card Game
274364;Political
118048;Arabian
118048;Card Game
271055;Fantasy
127023;Ancient
127023;Miniatures
127023;Mythology
127023;Wargame
2511;Deduction
2511;Murder/Mystery
2511;Novel-based
2511;Post-Napoleonic
2511;Spies/Secret Agents
161970;Deduction
161970;Fantasy
147020;Card Game
147020;Fighting
147020;Science Fiction
271324;Card Game
271324;Civilization
271324;Economic
271324;Science Fiction
233398;Exploration
233398;Nautical
233398;Renaissance
308765;City Building
308765;Medieval
308765;Puzzle
220877;Dice
220877;Economic
220877;Renaissance
220877;Territory Building
146652;Card Game
146652;Fighting
146652;Horror
146652;Movies / TV / Radio theme
146652;Science Fiction
254640;Party Game
254640;Word Game
34635;Dice
34635;Economic
34635;Prehistoric
14996;Trains
103885;Aviation / Flight
103885;Bluffing
103885;Collectible Components
103885;Miniatures
103885;Movies / TV / Radio theme
103885;Science Fiction
103885;Wargame
328871;Card Game
328871;Science Fiction
328871;Space Exploration
77423;Adventure
77423;Card Game
77423;Collectible Components
77423;Fantasy
77423;Novel-based
148949;Economic
233867;City Building
296151;Medieval
283948;Dice
283948;Economic
283948;Medieval
283948;Travel
82222;Adventure
82222;Exploration
82222;Fighting
82222;Science Fiction
82222;Space Exploration
82222;Transportation
244522;Dice
244522;Number
265188;City Building
265188;Economic
265188;Farming
265188;Territory Building
463;Card Game
463;Collectible Components
463;Fantasy
463;Fighting
189932;Fantasy
189932;Fighting
304783;Ancient
304783;City Building
268864;Wargame
268864;World War II
43111;Fantasy
43111;Fighting
43111;Horror
43111;Mythology
43111;Wargame
54043;Animals
54043;Card Game
54043;Economic
9609;Adventure
9609;Fantasy
9609;Fighting
9609;Novel-based
9609;Territory Building
9609;Wargame
249259;Abstract Strategy
249259;Medieval
249259;Wargame
329082;Card Game
329082;Fighting
329082;Science Fiction
287954;Abstract Strategy
287954;Puzzle
104162;Adventure
104162;Exploration
104162;Fantasy
104162;Fighting
104162;Miniatures
188920;Adventure
188920;Exploration
188920;Mature / Adult
188920;Modern Warfare
188920;Video Game Theme
10630;Miniatures
10630;Wargame
10630;World War II
282524;Horror
282524;Miniatures
282524;Movies / TV / Radio theme
12;Ancient
12;Mythology
209418;Card Game
209418;Medieval
39463;Bluffing
39463;Negotiation
39463;Science Fiction
39463;Space Exploration
17133;Trains
17133;Transportation
17133;Video Game Theme
128882;Bluffing
128882;Card Game
128882;Deduction
128882;Fantasy
128882;Medieval
128882;Negotiation
128882;Party Game
128882;Spies/Secret Agents
155426;Post-Napoleonic
155426;Puzzle
199561;Dice
199561;Puzzle
294484;Card Game
294484;Fantasy
294484;Fighting
294484;Horror
294484;Novel-based
70149;City Building
70149;Economic
70149;Industry / Manufacturing
70149;Medieval
70149;Religious
70149;Territory Building
103343;Bluffing
103343;Fantasy
103343;Negotiation
103343;Novel-based
103343;Political
103343;Wargame
31627;Trains
150376;Bluffing
150376;Deduction
150376;Horror
150376;Zombies
25021;Civil War
25021;Pike and Shot
25021;Wargame
123260;City Building
123260;Economic
14105;Ancient
14105;Wargame
291453;Card Game
242302;Dice
242302;Science Fiction
242302;Space Exploration
