id;domain_list
316377;Strategy Games
19777;Strategy Games
22545;Strategy Games
299659;Strategy Games
311193;Strategy Games
187617;Thematic Games
139976;Strategy Games
139976;Thematic Games
38453;Thematic Games
160477;Abstract Games
244271;Family Games
181279;Thematic Games
46213;Party Games
154203;Strategy Games
230253;Strategy Games
156546;Party Games
143693;Strategy Games
298047;Family Games
93260;Customizable Games
93260;Strategy Games
54138;Strategy Games
59294;Strategy Games
59294;Thematic Games
48726;Strategy Games
227789;Strategy Games
13122;Strategy Games
203420;Family Games
203420;Thematic Games
209685;Family Games
257499;Thematic Games
54;Strategy Games
136888;Strategy Games
163967;Strategy Games
2653;Family Games
222509;Strategy Games
291572;Strategy Games
291572;Thematic Games
129622;Family Games
193037;Thematic Games
184921;Family Games
172081;Family Games
172081;Thematic Games
245655;Thematic Games
188866;Family Games
270633;Strategy Games
5;Strategy Games
140934;Family Games
172818;Thematic Games
285192;Thematic Games
40692;Family Games
40692;Strategy Games
172;Family Games
50;Family Games
297562;Strategy Games
45315;Strategy Games
146439;Wargames
304420;Strategy Games
323612;Strategy Games
25292;Thematic Games
77130;Strategy Games
234277;Strategy Games
219513;Family Games
297030;Strategy Games
111341;Strategy Games
176920;Strategy Games
21241;Strategy Games
59959;Strategy Games
59959;Thematic Games
256680;Thematic Games
39856;Party Games
234;Wargames
181304;Family Games
181304;Thematic Games
199042;Thematic Games
70919;Family Games
366161;Family Games
366161;Strategy Games
47;Strategy Games
319966;Strategy Games
258779;Strategy Games
163745;Thematic Games
163745;Wargames
37046;Strategy Games
119890;Strategy Games
41114;Party Games
234487;Strategy Games
192458;Strategy Games
101721;Customizable Games
63888;Strategy Games
128271;Strategy Games
246192;Family Games
246192;Strategy Games
8217;Strategy Games
90137;Thematic Games
25554;Strategy Games
39683;Strategy Games
244711;Strategy Games
250458;Strategy Games
245934;Strategy Games
295374;Family Games
24480;Strategy Games
318184;Strategy Games
155987;Strategy Games
150145;Family Games
284653;Strategy Games
182134;Strategy Games
318084;Strategy Games
1;Strategy Games
269210;Family Games
9217;Strategy Games
260428;Strategy Games
215311;Family Games
40354;Wargames
301880;Strategy Games
33160;Strategy Games
17392;Wargames
195539;Strategy Games
70323;Family Games
31594;Strategy Games
21348;Family Games
21348;Strategy Games
277085;Family Games
277085;Party Games
265736;Family Games
144592;Strategy Games
